Nome;Valor;CPF;StatusDaVenda;Consultoras;
n;22000.00;123654987.64;assinados;samara
o;19000.00;123654987.64;pendentes;samara
p;25000.00;123654987.64;pendentes;samara
q;27000.00;123654987.64;pagos;samara
r;18000.00;123654987.64;perdidos;samara
s;20000.00;123654987.64;assinados;samara
t;24000.00;123654987.64;pendentes;samara
u;26000.00;123654987.64;pagos;samara
v;23000.00;123654987.64;assinados;samara
w;21000.00;123654987.64;pendentes;samara
x;28000.00;123654987.64;pagos;samara
y;19500.00;123654987.64;assinados;samara
z;27500.00;123654987.64;pendentes;samara
aa;23500.00;123654987.64;pagos;samara
ab;22500.00;123654987.64;assinados;samara
ac;24500.00;123654987.64;pendentes;samara
